Mnemonic      Mnemonic description
JBENDYR  YEAR LAST PAID JOB ENDED
JBENDMO  MONTH LAST PAID JOB ENDED
EXJOBSAT SATISFACTION WITH PAST JOB
WORNOJOB DO YOU WORRY ABOUT NOT FINDING JOB
NEWSKILL I WOULD ACCEPT JOB THAT REQUIRES NEW SKILLS
LOWPAY   I WOULD ACCEPT JOB FOR LOWER PAY
TEMPWORK I WOULD ACCEPT TEMPORARY EMPLOYMENT
MORTRAVL I WOULD ACCEPT A LONGER COMMUTE
MOVEINUS I WOULD MOVE WITHIN THE USA FOR WORK
MOVEAWAY I WOULD MOVE OUTSIDE THE USA FOR WORK
ECONSUP1 MAIN SOURCE OF ECONOMIC SUPPORT
WORECSUP DO YOU WORRY ABOUT LOSING ECONOMIC SUPPORT
UNPEOPLE RANK OF NO PEOPLE CONTACT WHEN UNEMPLOYED
UNMONEY  RANK OF SHORTAGE OF MONEY WHEN UNEMPLOYED
UNSLFCON RANK OF LOSS OF CONFIDE. WHEN UNEMPLOYED
UNRESPCT RANK OF LOSS OF RESPECT WHEN UNEMPLOYED
UNFAMTEN RANK OF FAMILY TENSIONS WHEN UNEMPLOYED
UNJOBEXP RANK OF HOW TO SPEND TIME WHEN UNEMPLOYED
UNBORED  RANK OF BOREDOM WHEN UNEMPLOYED
UNDK     DON'T KNOW RESPONSE TO UNEMPLOYMENT ITEMS
EMPSELF  DOES R PREFER SELF-EMPLOYMENT OR NOT ?
SMALLBIG R PREFERENCE RE: FIRM SIZE IN
INDUSOTH R PREFERENCE RE: MANUFACTURE SERVICE, ETC
PRIVGOVT R PREFERENCE RE: PRIVATE PUBLIC SECTOR
WORKWEEK DOES R WORK AT LEAST 10 HRS/WK
WANTJOB  WOULD R LIKE A JOB NOW
FINDJOB  COULD R FIND A JOB <UNEMPLOYED R'S>
IWRKHARD HOW HARD DOES R WORK AT JOB
HRSMONEY R PREFERENCE RE: WORK HRS AND MONEY
RYRSFIRM IMPORTANCE OF TENURE
RDOWELL  IMPORTANCE OF PERFORMANCE
RPAYSAME IMPORTANCE OF STANDARD RATES
REXPERNC IMPORTANCE OF EXPERIENCE
RAGEEMP  IMPORTANCE OF AGE
RFAMRESP IMPORTANCE OF FAMILY RESPS.
REDUCEMP IMPORTANCE OF EDUC. & FORMAL QUAL.
                                        Page 97            Index
RDK      DON'T KNOW RESPONSE TO UNEMPLOYMENT ITEMS
RSECJOB  R'S JOB IS SECURE
RHIINC   R'S INCOME IS HIGH
RPROMOTN R HAS OPPORTUNITY TO ADVANCE
RLEISURE R'S JOB LEAVES MUCH LEISURE TIME
RINTJOB  R'S JOB IS INTERESTING
RWRKINDP R CAN WORK INDEPENDENTLY
RHLPOTHS R HELPS OTHERS IN JOB
RHLPSOC  R'S JOB IS USEFUL TO SOCIETY
RFLEXHRS R'S JOB HAS FLEXIBLE HRS.
XHAUSTN  HOW OFTEN DOES WORK EXHAUST R
PHYSWRK  HOW OFTEN MUST R DO PHYSICAL WORK
STRESS   HOW OFTEN DOES R FIND WORK STRESSFUL
BOREDOM  HOW OFTEN IS R BORED AT WORK
DANGER   HOW OFTEN DOES R WORK IN DANGEROUS CONDS
UNHLTHY  HOW OFTEN DOES R WORK IN UNHEALTHY CONDS
UNPLEZNT HOW OFTEN DOES R WORK IN UNPLEASANT CONDS
PLANWRK  HOW MUCH CAN R PLAN DAILY WORK
FINDWORK COULD R FIND A JOB <EMPLOYED R'S>
BOSSEMPS QUALITY OF MGMNT-EMPLOYEE RELS: R'S FIRM
COWRKERS QUALITY OF RELS AMONG WORKERS: R'S FIRM
JOBSAT   HOW SATISFIED IS R WITH HIS/HER JOB
SUPERVIS DOES R SUPERVISE OTHERS AT WORK IN MAIN JOB
SUPRVSJB DOES R SUPERVISE OTHERS AT WORK
SUPNUM   NUMBER OF WORKERS R SUPERVISES
MOONLITE DOES R HAVE A SECOND JOB
OTHHRS   HOURS R SPENDS AT OTHER JOB<S>
NUMSITES DOES R'S FIRM HAVE MORE THAN ONE LOCATION
LOCALNUM NUMBER OF EMPLOYEES: R'S WORK SITE
TOTALNUM NUMBER OF EMPLOYEES: R'S ENTIRE FIRM
EMPLOYER DOES R EMPLOY OTHERS
NUMEMPLY NUMBER OF PERSONS R EMPLOYS
PAYDOJOB HOW IMPORTANT JOB WELL DONE IN DECIDING PAY
PAYFAM   HOW IMPORTANT FAMILY RESPONSIBILITY IN DECIDING P
PAYEDUC  HOW IMPORTANT EDUCATION IN DECIDING PAY
PAYTIME  HOW IMPORTANT BE LONG WITH THE FIRM IN DECIDING P
TECHJOBS NEW TECHS INCREASE NUMBER OF JOBS
TECHWORK NEW TECHS MAKE WORK MORE INTERESTING
WANTJOB1 WHICH JOB WOULD YOU PREFER
WORKNOW  ARE YOU CURRENTLY WORKING FOR PAY
SETHOURS WHO SET WORKING HOURS
PLACEWRK WHERE DO YOU WORK
WKTENURE DESCRIBE YOUR PRESENT JOB SITUATION
USESKILL HOW MUCH PAST SKILLS CAN YOU MAKE USE IN PRESENT
EDCSKILL HOW IMPORTANT SCHOOL IN DEVELOPING SKILLS
JOBSKILL HOW IMPORTANT TRAINING IN DEVELOPING SKILLS
HELPORG1 WILLING TO WORK HARDER FOR THE FIRM
PRIDEORG I AM PROUD WORKING FOR MY FIRM
CHNGWORK I WOULD CHANGE MY JOB FOR SOMETHING ELSE
STAYORG3 I WOULD TURN DOWN JOB OFFERING MORE PAY
PROUDWRK I AM PROUD OF THE TYPE OF WORK I DO
ABSENT   HOW MANY DAYS ABSENT FROM WORK PAST 6 MONTH
                                         Page 98                             Index
LEAVEJOB HOW LIKELY WILL TRY TO FIND ANOTHER FIRM
WORRYJOB DO YOU WORRY ABOUT LOSING JOB
EVJOB    HAVE YOU EVER HAD A PAID JOB FOR 1 YEAR OR+
YRJOBEND WHEN DID YOUR LAST PAID JOB END
WHYJBEND MAIN REASON YOUR JOB END
WANTJOB2 WOULD LIKE TO HAVE A JOB NOW OR IN THE FUTURE
GETJOB   HOW LIKELY YOU WOULD FIND A JOB
LOOKJOB  ARE YOU LOOKING FOR A JOB
PUBAGNCY REGISTERED AT A PUBLIC EMPLOYMENT AGENCY
PRIAGNCY REGISTERED AT A PRIVATE EMPLOYMENT AGENCY
WANTADS  ANSWERED ADVERTISEMENTS FOR JOBS
ADFORJOB ADVERTISED FOR A JOB IN NEWSPAPER'S
APPEMPS  APPLIED DIRECTLY TO EMPLOYERS
ASKHELP  ASKED RELATIVES FRIENDS COLLEAGUES TO HELP
ECONSUP  MAIN SOURCE OF ECONOMIC SUPPORT
SELFEMP1 EMPLOYEE HAVE MORE JOB SECURITY THAN THE SELF-EMPLOYED
SELFEMP2 BEING EMPLOYEE INTERFERE MORE WITH FAMILY LIFE THAN SELF-EMPLOYMENT
UNJOBSEC UNIONS ARE VERY IMPORTANT FOR JOB SECURITY
UNBETTER WORKING CONDITION WOULD BE MUCH WORSE WITHOUT UNIONS
RIMPSKLS JOB GIVES R CHANCE TO IMPROVE SKILLS
DAILYWRK HOW R'S DAILY WORK IS ORGANIZED
TIMEOFF  HOW DIFFICULT R TAKES AN HOUR OFF DURING WORKING HOURS
JBINTFAM HOW OFTEN R FELT: DEMAND OF JOB INTERFERE WITH FAMILY LIFE
FAMINTJB HOW OFTEN R FELT: DEMAND OF FAMILY LIFE INTERFERE WITH JOB
NEWJOB   HOW HELPFUL PRESENT WORK SKILL WOULD BE FOR NEW JOB
JBTRAIN  DID R HAVE ANY TRAINING TO IMPROVE JOB SKILL PAST 12 MONTHS
JOBEASY  HOW EASY IF R FIND A JOB AS GOOD AS CURRENT ONE
REPLACEU HOW EASY R'S FIRM REPLACES R IF R LEFT
NOUNEMP1  R WOULD ACCEPT JOB REQUIRING NEW SKILL TO AVOID UNEMPLOYMENT
NOUNEMP2  R WOULD ACCEPT POSITION WITH LOWER PAY TO AVOID UNEMPLOYMENT
NOUNEMP3  R WOULD ACCEPT TEMPORARY EMPLOYMENT TO AVOID UNEMPLOYMENT
NOUNEMP4  R WOULD ACCEPT TRAVEL LONGER TO WORK TO AVOID UNEMPLOYMENT
OTHERWRK DOES R HAVE ANY ADDITIONAL JOB
SKLTRAIN R HAD JOB SKILL TRAINING IN THEPAST 12 MONTHS
SPWRKGVT SPOUSE WORKING FOR GOVERNMENT
HAPUNHAP HAPPY OR UNHAPPY WITH LIFE TODAY
STIFFPUN LAWBREAKERS SHOULD GET STIFFER SENTENCES
DEATHPEN MURDERERS SHOULD GET DEATH PENALTY
PREMARS1 IS PREMARITAL SEX WRONG?
XMARSEX1 IS EXTRAMARITAL SEX WRONG?
HOMOSEX1 IS HOMOSEXUAL SEX WRONG?
ABDEFCT1 LAW SHOULD ALLOW ABORTION FOR BIRTH DEFECTS
ABPOOR1  LAW SHOULD ALLOW ABORTION IF FAMILY LOW INCOME
ABDEFCTW WRONG FOR WOMAN TO GET ABORTION FOR BIRTH DEFECTS
ABPOORW  WRONG FOR WOMAN TO GET ABORTION IF LOW INCOME?
TAXCHEAT WRONG TO CHEAT ON TAXES?
GOVCHEAT WRONG TO GIVE GOVT FALSE INFO FOR BENEFITS?
CONCONG  CONFIDENCE IN US CONGRESS
CONBIZ   CONFIDENCE IN BUSINESS AND INDUSTRY
CONGOVT  CONFIDENCE IN GOVERNMENT DEPARTMENTS
CONCHURH CONFIDENCE IN CHURCHES AND RELIGIOUS ORGS
CONCOURT CONFIDENCE IN COURTS AND LEGAL SYSTEM
                                          Page 99                         Index
CONSCHLS  CONFIDENCE IN SCHOOLS AND EDUC SYSTEM
POLSGOD   ATHEISTS SHOULDN'T HOLD PUBLIC OFFICE
CLERGVTE  CLERGY SHOULDN'T TRY TO INFLUENCE VOTERS
RELIGPUB  BETTER IF MORE BELIEVERS HELD PUBLIC OFFICE
CLERGGOV  CLERGY SHOULDN'T TRY TO INFLUENCE GOVT DECISIONS
CHURHPOW  DO CHURCHES HAVE TOO MUCH POWER?
GODCHNGE  DESCRIBE YOUR BELIEFS ABOUT GOD
AFTERLIF  BELIEF IN LIFE AFTER DEATH
DEVIL     BELIEF IN THE DEVIL
HEAVEN    BELIEF IN HEAVEN
HELL      BELIEF IN HELL
MIRACLES  BELIEF IN RELIGIOUS MIRACLES
BIBLE1    DESCRIBE YOUR FEELINGS ABOUT THE BIBLE
THEISM    GOD CONCERNED WITH HUMAN BEINGS PERSONALLY
FATALISM  PEOPLE CAN'T CHANGE THE COURSE OF THEIR LIVES
GODMEANS  LIFE MEANINGFUL BECAUSE GOD EXISTS
NIHILISM  LIFE SERVES NO PURPOSE
PREDETER  GOD DECIDES THE COURSE OF OUR LIVES
EGOMEANS  LIFE MEANINGFUL ONLY IF YOU PROVIDE MEANING
OWNFATE   WE EACH MAKE OUR OWN FATE
RELEXPER  TURNING POINT IN LIFE FOR RELIGION
MARELKID  MOTHERS RELIGION WHEN R WAS CHILD
MADENKID  IF PROTESTANT, MOTHERS DENOMINATION
PARELKID  FATHER'S RELIGION WHEN R WAS CHILD
PADENKID  IF PROTESTANT, FATHER'S DENOMINATION
RELIGKID  RELIGION R WAS RAISED IN
DENKID    IF PROTESTANT, DENOMINATION R RAISED IN
RELIGSP   R'S SPOUSE'S RELIGION
DENSP     IF PROTESTANT, R'S SPOUSE'S DENOMINATION
ATTENDMA  FREQ OF R'S MOM'S RELIG SVC ATTENDANCE
ATTENDPA  FREQ OF R'S DAD'S RELIG SVC ATTENDANCE
ATTEND12  FREQ OF R'S RELIG SVC ATTENDANCE AT AGE 12
PRAYFREQ  HOW OFTEN DOES R PRAY
RELACTIV  HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
RELACTIV1 HOW OFTEN DOES R TAKE PART IN RELIG ACTIVITIES
RELSCRPT  R HAS READ RELIGIOUS TEXT OUTSIDE OF A SERVICE IN THE PAST YEAR
FEELREL   HOW RELIGIOUS IS R
SCHLPRAY  SHOULD THERE BE DAILY PRAYER IN PUBLIC SCHOOLS?
GODRIGHT  GOD'S LAWS SHOULD DECIDE RIGHT AND WRONG
SOCRIGHT  SOCIETY'S LAWS SHOULD DECIDE RIGHT AND WRONG
PERRIGHT  CONSCIENCE SHOULD DECIDE RIGHT AND WRONG
ANTIREL   ANTI-RELIGIOUS MATERIAL SHOULD BE BANNED
BEFAIR    HOW OFTEN DO YOU THINK PEOPLE TAKE ADVANTAGE
CANTRUST  PEOPLE CAN BE TRUSTED OR CANT BE TOO CAREFUL
TRUSTSCI  WE TRUST TOO MUCH IN SCIENCE
RELIGCON  RELIGIONS BRING MORE CONFLICT
RELIGINT  RELIGIOUS PEOPLE ARE OFTEN TOO INTOLERANT
RELIGINF  US WOULD BE BETTER IF LESS RELIGIOUS
VOLWKPOL  VOLUNTEERED POLITICAL ACTIVITIES PAST 12 MONTH
VOLWKCHR  VOLUNTEERED CHARITABLE PAST 12 MONTH
VOLWKREL  VOLUNTEERED RELIGIOUS PAST 12 MONTH
VOLWKOTH  VOLUNTEERED OTHER KINDS PAST 12 MONTH
                                          Page 100                                      Index
RELTRUTH  HOW MUCH TRUTH IN RELIGION
CARRIGHT  WHAT YOUR FRIEND HAS A RIGHT TO EXPECT FROM YOU
CARDO     WHAT WOULD YOU DO IN THIS SITUATION
GEOMOBIL  HAS R MOVED FROM ONE KIND OF PLACE TO ANOTHER
RELGRPEQ  ALL RELIGIOUS GROUPS IN USA SHOULD HAVE EQUAL RIGHTS
RSPCTREL  WE MUST RESPECT ALL RELIGIONS
RELMARRY  R ACCEPTS A PERSON FROM A DIFFERENT RELIGION OR VIEW FROM R'S MARRYING RELATIVE
RELCAND   OF PARTY R PREFERS
RELEXT1   VIEWS
RELEXT2   PEOPLE SHOULD BE ALLOWED TO PUBLISH BOOKS EXPRESSING THEIR VIEWS
RELEXT3   RELIGIOUS EXTREMISTS SHOULD BE ALLOWED TO PUBLISH THEIR VIEWS ON THE INTERNET
REINCAR   BELIEVE IN REINCARNATION
NIRVANA   BELIEVE IN NIRVANA
ANCESTRS  BELIEVE IN SUPERNATURAL POWER OF DECEASED ANCESTORS
MYWAYGOD  R HAS OWN WAY OF CONNECTING WITH GOD WITHOUT CHURCHES OR RELIGIOUS SERVICES
RELGENEQ  R'S RELIGION TREATS MEN AND WOMEN EQUALLY
RELOBJCT  DISPLAY
VISTHOLY  HOW OFTEN R VISITS HOLY PLACE FOR RELIGIOUS REASONS
RELSPRT   IS R SPIRITUAL PERSON
PAXHAPPY  RELIGION HELPS PEOPLE TO FIND INNER PEACE AND HAPPINESS
MAKEFRND  RELIGION HELPS PEOPLE TO MAKE FRIENDS
COMFORT   RELIGION HELPS PEOPLE TO GAIN COMFORT IN TIMES OF TROUBLE AND SORROW
RIGHTPEO  RELIGION HELPS PEOPLE TO MEET THE RIGHT KIND OF PEOPLE
RELGENBAR RELIGIONS ARE USUALLY A BARRIER TO EQUALITY BETWEEN WOMEN AND MEN
GOVVSREL  ITS FAITH
DIFREL    WHEN LIVING CLOSE TOGETHER.
RELPAST   IN AMERICA, RELIGION REPRESENTS THE PAST AND NOT THE FUTURE.
RELRLVNT  IN AMERICA, RELIGION IS JUST AS RELEVANT TO LIFE TODAY AS IT WAS IN THE PAST.
CHRISTNS  GROUP - CHRISTIANS
MUSLIMS   GROUP - MUSLIMS
HINDUS    GROUP - HINDUS
BUDDHSTS  GROUP - BUDDHISTS
JEWS      GROUP - JEWS
ATHEISTS  GROUP - ATHIESTS
PERSCRFC  ACTIVITY, ETC.
OBEYTHNK  SHOULD CHLDRN BE OBEDIENT OR THINK FOR SELVES
PRIVENT   PRIVATE ENTERPRISE WILL SOLVE U.S. PROBLEMS
POSTMAT1  HIGHEST PRIORITY FOR AMERICA
POSTMAT2  2ND HIGHEST PRIORITY FOR AMERICA
SCIFAITH  BELIEVE TOO MUCH IN SCIENCE, NOT ENOUGH FAITH
HARMGOOD  MODERN SCIENCE DOES MORE HARM THAN GOOD
SCIWORSE  HUMANS CHANGE NATURE FOR THE WORSE
SCIGRN    MODERN SCIENCE WILL SOLVE ENVIR PROBS
GRNECON   WORRY TOO MUCH ABOUT ENVIR, TOO LITTLE ECON
HARMSGRN  ALMOST EVERYTHING WE DO HARMS ENVIR
ANRIGHTS  ANIMALS HAVE RIGHTS TOO
RESNATUR  HUMANS SHOULD RESPECT NATURECREATED BY GOD
GRNPROG   WORRY TOO MUCH ABOUT PROGRESS HARMING ENVIR
NATURPAX  NATURE WOULD BE AT PEACE IF HUMANS LEFT ALONE
GRWTHELP  AMER NEEDS ECON GRWTH TO PROTECT ENVIR
ANTESTS   OK TO TEST ON ANIMALS TO SAVE HUMANS
NATURWAR  NATURE IS SURVIVAL OF FITTEST
                                        Page 101          Index
GRWTHARM ECON GRWTH ALWAYS HARMS ENVIR
NATURGOD RELATIONSHIP OF NATURE TO GOD
GRNPRICE PAY HIGHER PRICES TO HELP ENVIR?
GRNTAXES PAY HIGHER TAXES TO HELP ENVIR?
GRNSOL   ACCEPT CUT IN LIVING STNDS TO HELP ENVIR?
TOODIFME TOO DIFF TO DO ANYTHING ABOUT ENVIR
IHLPGRN  DO WHAT I CAN TO HELP ENVIR
SCITEST1 HUMANS MAKE ALL RADIOACTIVITY
SCITEST2 ANTIBIOTICS KILL BACTERIA NOT VIRUSES
SCITEST3 ASTROLOGY HAS SOME SCIENTIFIC TRUTH
SCITEST4 HUMANS EVOLVED FROM ANIMALS
SCITEST5 ALL MAN-MADE CHEMS CAUSE CANCER
GRNTEST1 ALL WILL DIE IF EXPOSED TO RADIOACT
GRNTEST2 NUKE WASTE DANGEROUS FOR THOUSANDS OF YRS
GRNTEST3 GREENHOUSE EFFECT CAUSED BY HOLE IN ATMOSPHERE
GRNTEST4 USING COAL OR GAS CONTRIB TO GREENHOUSE EFFECT
GRNTEST5 ALL PESTICIDES CAUSE CANCER
GRNTEST6 HUMANS ARE MAIN CAUSE OF PLANT & ANIMAL EXTINCT
GRNTEST7 CARS NOT IMP CAUSE OF AIR POLLUTION
CARSGEN  CAR POLLUTION DANGER TO ENVIR
CARSFAM  CAR POLLUTION DANGER TO MY FAMILY
CARSTEN  CAR POLLUTION WILL INCREASE IN NEXT 10 YRS
NUKEGEN  NUKE POWER DANGER TO ENVIR
NUKEFAM  NUKE POWER DANGER TO MY FAMILY
INDUSGEN INDUST AIR POLLUTION DANGER TO ENVIR
INDUSFAM INDUST AIR POLLUTION DANGER TO MY FAMILY
CHEMGEN  PESTICIDES DANGER TO ENVIR
CHEMFAM  PESTICIDES DANGER TO MY FAMILY
WATERGEN WATER POLLUTION DANGER TO ENVIR
WATERFAM WATER POLLUTION DANGER TO MY FAMILY
TEMPGEN  GREENHOUSE EFFECT DANGER TO ENVIR
TEMPFAM  GREENHOUSE EFFECT DANGER TO MY FAMILY
PUBDECID GOVT SHOULD LET PEOP DECIDE HOW TO PROTECT ENVIR
BUSDECID GOVT SHOULD LET BIZ DECIDE HOW TO PROTECT ENVIR
USDOENUF U.S. PROTECT ENVIRONMENT
RECYCLE  RECYCLE CANS BOTTLES
CHEMFREE BUY PESTICIDE FREE FRUITS, VEGETABLES
NOMEAT   REFUSE TO EAT MEAT FOR ENVIR REASONS
DRIVLESS DRIVE LESS FOR ENVIR REASONS
GRNGROUP MEMBER OF ENVIR GROUP
GRNSIGN  SIGN PETITION ON ENVIR ISSUE
GRNMONEY GIVE MONEY TO ENVIR GROUP
GRNDEMO  PROTESTED FOR ENVIR ISSUE
COMTYPE  TYPE OF COMMUNITY IN WHICH R LIVES
POPGRWTH EARTH CANNOT SUPPORT POPULATION GROWTH
IMPGRN   MORE IMPORTANT IN LIFE THAN SAVE ENVIRONMENT
OTHSSAME NO SAVING ENVIRONMENT UNLESS OTHERS DO SAME
GRNEXAGG ENVIRONMENTAL THREATS EXAGGERATED
GENEGEN  HOW DANGEROUS MODIFYING GENES IN CROPS
AMPROGRN AMERICAN DOING ENOUGH TO PROTECT ENVIRONMENT
BIZPEOP  BUSINESS PEOPLE DO MORE FOR ENVIRONMENT
GOVTBIZ  GOVERNMENT DO MORE FOR ENVIRONMENT
                                       Page 102               Index
PEOPGOVT PEOPLE DO MORE FOR ENVIRONMENT THAN GOVT
GRNINTL  INTL AGREEMENTS FOR ENVIRONMENT PROBLEMS
LDCGRN   POOR COUNTRIES LESS THAN RICH FOR ENVIRONMENT
ECONGRN  ECONOMIC PROGRESS DEPENDENT ON ENVIRONMENT
NUKEACC  LIKELIHOOD OF NUCLEAR MELTDOWN IN 5 YEARS
INFOBIZ  R TRUST BUSINESS FOR POLLUTION INFORMATION
INFOGRN  R TRUST ENVIRONMENT GROUPS FOR POLLUTION INFORMATION
INFOGOVT R TRUST GOVT FOR POLLUTION INFORMATION
INFONEWS R TRUST NEWSPAPERS FOR POLLUTION INFORMATION
INFOTV   R TRUST RADIO OR TV FOR POLLUTION INFORMATION
INFOCOL  R TRUST UNIVERSITIES FOR POLLUTION INFORMATION
EXCLDIMM AMERICA SHOULD EXCLUDE ILLEGAL IMMIGRANTS
TOPPROB1 MOST IMPORTANT ISSUE FOR AMERICA
TOPPROB2 NEXT IMPORTANT ISSUE
TRUST5   PEOPLE CAN OR CANNOT BE TRUSTED
FAIR5    PEOPLE FAIR OR NOT
GRNCON   CONCERNED ABOUT ENVIRONMENT
ENPRBUS  MOST IMPORTANT ENVIRONMENT PROBLEM
ENPRBFAM PROBLEM EFFECT FAMILY MOST
KNWCAUSE KNOW CAUSES OF ENVIRONMENT ISSUES
KNOWSOL  KNOW SOLUTIONS TO ENVIRONMENT ISSUES
FUTENRGY U.S. ENERGY PRIORITIES
HELPHARM WAY LIVING HELPS OR HARMS
GRNEFFME ENVIRONMENT EFFECT EVERYDAY LIFE
TEMPGEN1 TEMPERATURE RISE FROM CLIMATE CHANGE
BUSGRN   U.S. BUSINESS TO PROTECT ENVIRONMENT
PEOPGRN  HOW GET PEOPLE TO PROTECT ENVIRONMENT
REDCEHME HOW OFTEN REDUCE FUEL
H2OLESS  HOW OFTEN SAVE WATER
NOBUYGRN HOW OFTEN AVOID PRODUCTS
CLSENEI  HOW CLOSE DO YOU FEEL TO YOUR NEIGHBORHOOD
CLSETOWN HOW CLOSE DO YOU FEEL TO YOUR TOWN OR CITY
CLSESTAT HOW CLOSE DO YOU FEEL TO YOUR STATE
CLSEUSA  HOW CLOSE DO YOU FEEL TO AMERICA
CLSENOAM HOW CLOSE DO YOU FEEL TO NORTH AMERICA
MOVENEI  WILLING TO MOVE TO ANOTHER NEIGHBORHOOD
MOVETOWN WILLING TO MOVE TO ANOTHER TOWN OR CITY
MOVESTAT WILLING TO MOVE TO ANOTHER STATE
MOVEUSA  WILLING TO MOVE OUTSIDE AMERICA
MOVENOAM WILLING TO MOVE OUTSIDE NORTH AMERICA
ONENATN  ONE NATION OR ALLOWED TO BECOME FULLY SEPARATE?
AMBORNIN HOW IMPORTANT TO HAVE BEEN BORN IN AMERICA
AMCIT    HOW IMPORTANT TO HAVE AMERICAN CITIZENSHIP
AMLIVED  HOW IMPORTANT TO HAVE LIVED IN AMERICA FOR LIFE
AMENGLSH HOW IMPORTANT TO BE ABLE TO SPEAK ENGLISH
AMCHRSTN HOW IMPORTANT TO BE A CHRISTIAN
AMGOVT   HOW IMPORTANT TO RESPECT AMERICA'S LAWS ETC
AMFEEL   HOW IMPORTANT TO FEEL AMERICAN
AMCITIZN AGREE I WOULD RATHER BE A CITIZEN OF AMERICA
AMSHAMED AGREE THERE ARE THINGS MAKE ME ASHAMED
BELIKEUS AGREE BETTER IF PEOPLE WERE MORE LIKE AMERICANS
AMBETTER AGREE AMERICA IS A BETTER COUNTRY
                                       Page 103             Index
IFWRONG  AGREE PEOPLE SHOULD SUPPORT THEIR COUNTRY
AMSPORTS AGREE SPORTS MAKES ME PROUD TO BE AN AMERICAN
PROUDDEM HOW PROUD THE WAY DEMOCRACY WORKS
PROUDPOL HOW PROUD ITS POLITICAL INFLUENCE IN THE WORLD
PROUDECO HOW PROUD AMERICA'S ECONOMIC ACHIEVEMENTS
PROUDSSS HOW PROUD ITS SOCIAL SECURITY SYSTEM
PROUDSCI HOW PROUD ITS SCIENTIFIC AND TECH ACHIEVEMENTS
PROUDSPT HOW PROUD ITS ACHIEVEMENTS IN SPORTS
PROUDART HOW PROUD ITS ACHIEVEMENTS IN THE ARTS & LIT.
PROUDMIL HOW PROUD AMERICA'S ARMED FORCES
PROUDHIS HOW PROUD ITS HISTORY
PROUDGRP HOW PROUD ITS FAIR AND EQUAL TREATMENT
IMPORTS  AMERICA SHOULD LIMIT THE IMPORT
WRLDGOVT INTERNATIONAL BODIES SHOULD ENFORCE ENVIRONMENT
FORLANG  AMERICAN SCHOOLS SHOULD TEACH FOREIGN LANGUAGES
AMOWNWAY AMERICA SHOULD FOLLOW ITS OWN INTERESTS
FORLAND  FOREIGNERS SHOULD NOT BE ALLOWED TO BUY LAND
AMTV     TV SHOULD GIVE PREFERENCE TO AMERICAN FILMS
AMCULT   IT IS IMPOSSIBLE TO BECOME FULLY AMERICAN
MINCULT  ETHNIC MINORITIES SHOULD BE GIVEN GOV ASSISTANCE
MELTPOT1 BETTER TO MAINTAIN DISTINCT CULTURES
IMMCRIME IMMIGRANTS INCREASE CRIME RATES
IMMAMECO IMMIGRANTS GOOD FOR AMERICA
IMMJOBS  IMMIGRANTS TAKE JOBS AWAY
IMMIDEAS IMMIGRANTS MAKE AMERICA MORE OPEN
LETIN1   NUMBER OF IMMIGRANTS TO AMERICA NOWADAYS SHOULD BE
REFUGEES REFUGEES SHOULD BE ALLOWED TO STAY IN AMERICA?
RES161   WHERE SPEND CHILDHOOD UNTIL AGE 16?
LIVECOM1 HOW LONG HAVE YOU LIVED IN THE COMMUNITY?
ABROAD   HOW LONG HAVE YOU LIVED IN OTHER COUNTRIES?
SPKHOME1 WHAT LANGUAGE(S) DO YOU SPEAK AT HOME?
SPKHOME2 WHAT LANGUAGE(S) DO YOU SPEAK AT HOME?
SPKLANG1 WHAT LANGUAGE(S) DO YOU SPEAK WELL?
SPKLANG2 WHAT LANGUAGE(S) DO YOU SPEAK WELL?
SPKLANG3 WHAT LANGUAGE(S) DO YOU SPEAK WELL?
CITIZEN  ARE YOU A CITIZEN OF AMERICA?
PARCIT   WERE YOUR PARENTS CITIZENS OF AMERICA?
ETHCLOSE HOW CLOSE FEEL TO YOUR ETHNIC OR RACIAL GROUP?
NAFTA1   HOW MUCH HEARD OR READ ABOUT NAFTA?
NAFTA2   AMERICA BENEFITS FROM BEING A MEMBER OF NAFTA?
SOCID1   MOST IMPORTANT TO R
SOCID2   SECOND MOST IMPORTANT TO R
SOCID3   THIRD MOST IMPORTANT TO R
AMANCSTR HOW IMPORTANT TO HAVE AMERICAN ANCESTRY
LESSPRD  AGREE OFTEN LESS PROUD OF AMERICA
INTLINCS LARGE INTL COMPANY DAMAGE TO LOCAL BUSINESS
FREETRDE FREE TRADE LEADS TO BETTER PRODUCTS
DECSORGS AMERICA SHOULD FOLLOW DECISION OF INTL ORG
POWRORGS INTL ORGS TAKE AWAY MUCH POWER FROM AMERICAN GOVT
CITWORLD I AM A CITIZEN OF THE WORLD
FORCULT  EXPOSURE TO FOREIGN FILM DAMAGE TO OUR CULTURE
INTERNET INTERNET MAKES INFO AVAILABLE MORE PEOPLE
                                       Page 104                          Index
IMMIMP   IMMIGRANTS IMPROVE AMERICAN SOCIETY
IMMCOSTS GOVT SPEND TOO MUCH MONEY FOR IMMIGRANTS
KIDSHERE PARENT OF AMERICA BORN CHILD SHOULD BECOME CITIZEN
KIDSAWAY CHILD BORN ABROAD OF AMERICAN SHOULD BECOME CITIZEN
IMMRGHTS LEGAL IMMIGRANTS SHOULD HAVE SAME RIGHT AS AMERICAN
AMPROUD1 HOW PROUD BEING AMERICAN
